cluster,length,contig_id,per_identity,rep
Cluster 2,3001,t1_NODE_14_length_3001_cov_5.559063,99.50,False
Cluster 2,1905,t1_NODE_80_length_1905_cov_2.790270,98.90,False
Cluster 2,1228,t1_NODE_298_length_1228_cov_3.710145,99.35,False
Cluster 2,1221,t1_NODE_304_length_1221_cov_3.351630,99.02,False
Cluster 2,1203,t1_NODE_317_length_1203_cov_2.095819,96.76,False
Cluster 2,1151,t1_NODE_365_length_1151_cov_2.392336,99.30,False
Cluster 2,12317,t1_NODE_1_length_12317_cov_15.882646,97.32,False
Cluster 2,2512,t1_NODE_61_length_2512_cov_9.076516,98.37,False
Cluster 2,1606,t1_NODE_43_length_1606_cov_4.472598,99.69,False
Cluster 2,1512,t1_NODE_50_length_1512_cov_9.041181,90.61,False
Cluster 2,1395,t1_NODE_81_length_1395_cov_3.334328,99.21,False
Cluster 2,1318,t1_NODE_103_length_1318_cov_3.062549,99.54,False
Cluster 2,1237,t1_NODE_131_length_1237_cov_3.406937,99.60,False
Cluster 2,1205,t1_NODE_144_length_1205_cov_4.603478,99.34,False
Cluster 2,1077,t1_NODE_214_length_1077_cov_5.136008,99.81,False
Cluster 2,12075,t1_NODE_2_length_12075_cov_23.196922,99.30,False
Cluster 2,1781,t1_NODE_3_length_1781_cov_3.682503,99.89,False
Cluster 2,1646,t1_NODE_11_length_1646_cov_4.018856,98.78,False
Cluster 2,1114,t1_NODE_37_length_1114_cov_3.842304,99.64,False
Cluster 2,1498,t1_NODE_3_length_1498_cov_2.939709,99.47,False
Cluster 2,1109,t1_NODE_13_length_1109_cov_5.131879,100.00,False
Cluster 2,2320,t1_NODE_4_length_2320_cov_4.436645,88.71,False
Cluster 2,1035,t1_NODE_43_length_1035_cov_3.953061,100.00,False
Cluster 2,3386,t1_NODE_10_length_3386_cov_3.563795,99.62,False
Cluster 2,1979,t1_NODE_29_length_1979_cov_3.244802,98.28,False
Cluster 2,1549,t1_NODE_57_length_1549_cov_3.693440,99.55,False
Cluster 2,12390,t1_NODE_1_length_12390_cov_10.898176,95.63,False
Cluster 2,2131,t1_NODE_152_length_2131_cov_6.004335,96.62,False
Cluster 2,6150,t1_NODE_1_length_6150_cov_7.772108,96.24,False
Cluster 2,3720,t1_NODE_25_length_3720_cov_5.629468,98.98,False
Cluster 2,2457,t1_NODE_113_length_2457_cov_6.385928,99.55,False
Cluster 2,11286,t1_NODE_1_length_11286_cov_7.699938,99.68,False
Cluster 2,2133,t1_NODE_88_length_2133_cov_5.442733,99.62,False
Cluster 2,1517,t1_NODE_266_length_1517_cov_3.309166,99.74,False
Cluster 2,4472,t1_NODE_3_length_4472_cov_4.707041,99.80,False
Cluster 2,2865,t1_NODE_13_length_2865_cov_3.485409,99.83,False
Cluster 2,1943,t1_NODE_59_length_1943_cov_3.909958,99.74,False
Cluster 2,11952,t1_NODE_1_length_11952_cov_10.103556,98.56,False
Cluster 2,2090,t1_NODE_122_length_2090_cov_6.257002,99.52,False
Cluster 2,1194,t1_NODE_15_length_1194_cov_2.086918,99.16,False
Cluster 2,2060,t1_NODE_39_length_2060_cov_3.256858,99.81,False
Cluster 2,1179,t1_NODE_194_length_1179_cov_2.319395,99.66,False
Cluster 2,6087,t1_NODE_2_length_6087_cov_5.914788,99.46,False
Cluster 2,5131,t1_NODE_4_length_5131_cov_7.574665,97.19,False
Cluster 2,1826,t1_NODE_85_length_1826_cov_5.304348,97.10,False
Cluster 2,11637,t1_NODE_1_length_11637_cov_8.682784,99.77,False
Cluster 2,2207,t1_NODE_56_length_2207_cov_6.605483,99.32,False
Cluster 2,1074,t1_NODE_15_length_1074_cov_3.761531,99.81,False
Cluster 2,4709,t1_NODE_3_length_4709_cov_3.676193,99.68,False
Cluster 2,2217,t1_NODE_54_length_2217_cov_3.017576,99.77,False
Cluster 2,1317,t1_NODE_270_length_1317_cov_3.679873,99.85,False
Cluster 2,1149,t1_NODE_414_length_1149_cov_2.380256,99.83,False
Cluster 2,11356,t1_NODE_1_length_11356_cov_6.776480,99.68,False
Cluster 2,2848,t1_NODE_18_length_2848_cov_5.330827,88.80,False
Cluster 2,2863,t1_NODE_17_length_2863_cov_3.454060,99.83,False
Cluster 2,2723,t1_NODE_19_length_2723_cov_2.886432,99.71,False
Cluster 2,1942,t1_NODE_64_length_1942_cov_2.966614,99.43,False
Cluster 2,1054,t1_NODE_446_length_1054_cov_2.606607,99.81,False
Cluster 2,1960,t1_NODE_250_length_1960_cov_4.270341,99.39,False
Cluster 2,1763,t1_NODE_344_length_1763_cov_4.370609,99.04,False
Cluster 2,1504,t1_NODE_540_length_1504_cov_3.340925,98.60,False
Cluster 2,1157,t1_NODE_1087_length_1157_cov_4.209619,99.22,False
Cluster 2,11836,t1_NODE_1_length_11836_cov_8.100076,98.72,False
Cluster 2,2058,t1_NODE_206_length_2058_cov_5.656016,99.22,False
Cluster 2,11338,t1_NODE_1_length_11338_cov_11.849331,99.74,False
Cluster 2,1658,t1_NODE_50_length_1658_cov_7.122271,99.76,False
Cluster 2,5632,t1_NODE_3_length_5632_cov_5.043751,99.43,False
Cluster 2,1698,t1_NODE_61_length_1698_cov_4.307973,99.53,False
Cluster 2,2823,t1_NODE_1_length_2823_cov_5.119220,99.75,False
Cluster 2,2019,t1_NODE_3_length_2019_cov_3.534623,99.90,False
Cluster 2,1016,t1_NODE_24_length_1016_cov_4.235172,99.61,False
Cluster 2,12208,t1_NODE_1_length_12208_cov_13.170987,98.13,False
Cluster 2,12369,t1_NODE_1_length_12369_cov_12.603053,95.90,False
Cluster 2,12703,t1_NODE_1_length_12703_cov_8.707068,96.35,False
Cluster 2,2048,t1_NODE_72_length_2048_cov_6.095835,99.71,False
Cluster 2,12228,t1_NODE_1_length_12228_cov_12.504641,97.51,False
Cluster 2,2726,t1_NODE_72_length_2726_cov_11.305504,88.77,False
Cluster 2,12382,t1_NODE_1_length_12382_cov_15.636895,97.42,False
Cluster 2,2940,t1_NODE_29_length_2940_cov_7.381282,85.31,False
Cluster 2,1664,t1_NODE_8_length_1664_cov_4.501554,99.52,False
Cluster 2,1194,t1_NODE_18_length_1194_cov_3.798946,99.75,False
Cluster 2,6200,t1_NODE_3_length_6200_cov_5.344020,91.16,False
Cluster 2,5780,t1_NODE_4_length_5780_cov_4.913362,99.29,False
Cluster 2,2193,t1_NODE_95_length_2193_cov_3.797942,92.43,False
Cluster 2,4601,t1_NODE_1_length_4601_cov_7.972943,99.54,False
Cluster 2,1432,t1_NODE_10_length_1432_cov_3.770516,99.23,False
Cluster 2,1261,t1_NODE_11_length_1261_cov_6.764511,99.29,False
Cluster 2,1101,t1_NODE_26_length_1101_cov_10.229446,99.73,False
Cluster 2,10957,t1_NODE_1_length_10957_cov_8.370941,99.74,False
Cluster 2,2182,t1_NODE_76_length_2182_cov_6.587212,99.22,False
Cluster 2,15180,t1_NODE_1_length_15180_cov_21.781091,100.00,True
Cluster 2,1248,t2_NODE_18_length_1248_cov_1.376362,99.60,False
Cluster 3,1008,t1_NODE_153_length_1008_cov_1.825813,99.31,False
Cluster 3,1027,t1_NODE_523_length_1027_cov_2.434156,99.32,False
Cluster 3,1026,t1_NODE_526_length_1026_cov_3.073120,96.59,False
Cluster 3,2984,t1_NODE_20_length_2984_cov_10.041994,98.49,False
Cluster 3,2367,t1_NODE_78_length_2367_cov_6.522924,98.27,False
Cluster 3,2162,t1_NODE_29_length_2162_cov_2.859041,98.24,False
Cluster 3,1070,t1_NODE_281_length_1070_cov_3.272906,99.35,False
Cluster 3,3026,t1_NODE_97_length_3026_cov_19.625379,98.58,False
Cluster 3,3702,t1_NODE_8_length_3702_cov_6.401700,99.57,False
Cluster 3,1633,t1_NODE_190_length_1633_cov_3.581115,99.94,False
Cluster 3,1077,t1_NODE_1177_length_1077_cov_2.991194,99.72,False
Cluster 3,14568,t1_NODE_1_length_14568_cov_12.237580,100.00,True
Cluster 3,1150,t1_NODE_368_length_1150_cov_2.011872,99.22,False
Cluster 3,3018,t1_NODE_35_length_3018_cov_9.438070,98.48,False
Cluster 3,1327,t1_NODE_101_length_1327_cov_2.716195,99.62,False
Cluster 3,9522,t1_NODE_4_length_9522_cov_10.616985,96.14,False
Cluster 3,5407,t1_NODE_9_length_5407_cov_9.786435,99.65,False
Cluster 3,3015,t1_NODE_42_length_3015_cov_8.586824,98.54,False
Cluster 3,2949,t1_NODE_17_length_2949_cov_5.834831,99.49,False
Cluster 3,3045,t1_NODE_40_length_3045_cov_5.716054,98.13,False
Cluster 3,1309,t1_NODE_414_length_1309_cov_2.522329,99.69,False
Cluster 3,1020,t1_NODE_348_length_1020_cov_2.609326,96.96,False
Cluster 3,2988,t1_NODE_35_length_2988_cov_4.644732,98.43,False
Cluster 3,1485,t1_NODE_4_length_1485_cov_3.564336,99.66,False
Cluster 3,3040,t1_NODE_17_length_3040_cov_6.771524,98.32,False
Cluster 3,3112,t1_NODE_23_length_3112_cov_6.597318,95.95,False
Cluster 3,1218,t1_NODE_318_length_1218_cov_5.290628,97.21,False
Cluster 3,1062,t1_NODE_479_length_1062_cov_3.181728,99.25,False
Cluster 3,1331,t1_NODE_218_length_1331_cov_4.318182,99.32,False
Cluster 3,3127,t1_NODE_72_length_3127_cov_6.126953,94.66,False
Cluster 3,3050,t1_NODE_76_length_3050_cov_4.089816,97.21,False
Cluster 3,1627,t1_NODE_442_length_1627_cov_4.979644,94.10,False
Cluster 3,1678,t1_NODE_417_length_1678_cov_6.782502,97.74,False
Cluster 3,1359,t1_NODE_809_length_1359_cov_6.118865,98.45,False
Cluster 3,3076,t1_NODE_4_length_3076_cov_6.135386,95.38,False
Cluster 3,3039,t1_NODE_82_length_3039_cov_9.502681,98.35,False
Cluster 3,3601,t1_NODE_38_length_3601_cov_6.923012,99.67,False
Cluster 3,2840,t1_NODE_71_length_2840_cov_5.754399,99.82,False
Cluster 3,1769,t1_NODE_264_length_1769_cov_2.609685,99.94,False
Cluster 3,1256,t1_NODE_695_length_1256_cov_3.639467,99.84,False
Cluster 3,1555,t1_NODE_179_length_1555_cov_5.857333,97.75,False
Cluster 3,1470,t1_NODE_201_length_1470_cov_6.837456,98.91,False
Cluster 3,2973,t1_NODE_52_length_2973_cov_7.874572,98.65,False
Cluster 3,3096,t1_NODE_27_length_3096_cov_8.661296,96.64,False
Cluster 3,3909,t1_NODE_13_length_3909_cov_3.871303,100.00,False
Cluster 3,3117,t1_NODE_29_length_3117_cov_4.273677,99.94,False
Cluster 3,2877,t1_NODE_39_length_2877_cov_3.667257,99.86,False
Cluster 3,2853,t1_NODE_27_length_2853_cov_5.394568,98.56,False
Cluster 3,3080,t1_NODE_99_length_3080_cov_16.240992,96.88,False
Cluster 4,13391,t1_NODE_1_length_13391_cov_548.048290,98.86,False
Cluster 4,6601,t1_NODE_1_length_6601_cov_359.487473,99.39,False
Cluster 4,6800,t1_NODE_2_length_6800_cov_340.443440,99.32,False
Cluster 4,5378,t1_NODE_3_length_5378_cov_3568.413301,98.08,False
Cluster 4,1380,t1_NODE_205_length_1380_cov_3695.059623,99.42,False
Cluster 4,6826,t1_NODE_2_length_6826_cov_1966.507015,99.00,False
Cluster 4,6852,t1_NODE_2_length_6852_cov_910.341621,97.62,False
Cluster 4,6857,t1_NODE_6_length_6857_cov_825.695090,97.71,False
Cluster 4,13413,t1_NODE_1_length_13413_cov_2074.153990,100.00,True
Cluster 4,6719,t1_NODE_3_length_6719_cov_141.863745,98.96,False
Cluster 4,6810,t1_NODE_1_length_6810_cov_77.209326,99.10,False
Cluster 4,6718,t1_NODE_1_length_6718_cov_52.627195,99.46,False
Cluster 4,6719,t1_NODE_2_length_6719_cov_133.304622,99.57,False
Cluster 4,6724,t1_NODE_1_length_6724_cov_40.107063,98.47,False
Cluster 4,6794,t1_NODE_3_length_6794_cov_101.100312,99.34,False
Cluster 4,6734,t1_NODE_2_length_6734_cov_111.257823,97.80,False
Cluster 4,6714,t1_NODE_2_length_6714_cov_82.481003,99.34,False
Cluster 4,5102,t1_NODE_1_length_5102_cov_9.596988,99.37,False
Cluster 4,1435,t1_NODE_6_length_1435_cov_8.907246,99.23,False
Cluster 4,3997,t1_NODE_5_length_3997_cov_4.353374,98.77,False
Cluster 4,1208,t1_NODE_324_length_1208_cov_3.773634,99.25,False
Cluster 4,1104,t1_NODE_422_length_1104_cov_2.342231,99.09,False
Cluster 4,6781,t1_NODE_2_length_6781_cov_167.232084,98.10,False
Cluster 4,1448,t1_NODE_611_length_1448_cov_3.115578,99.52,False
Cluster 4,6749,t1_NODE_5_length_6749_cov_457.770541,99.14,False
Cluster 4,1018,t1_NODE_236_length_1018_cov_2.794393,99.12,False
Cluster 4,6840,t1_NODE_2_length_6840_cov_432.665438,98.71,False
Cluster 4,6763,t1_NODE_2_length_6763_cov_44.868813,99.33,False
Cluster 4,6760,t1_NODE_1_length_6760_cov_105.153766,99.45,False
Cluster 4,4010,t1_NODE_12_length_4010_cov_4.679140,99.20,False
Cluster 4,2697,t1_NODE_53_length_2697_cov_4.364875,98.70,False
Cluster 4,6772,t1_NODE_7_length_6772_cov_293.132202,97.71,False
Cluster 4,6713,t1_NODE_1_length_6713_cov_30.695254,99.58,False
Cluster 5,5298,t1_NODE_5_length_5298_cov_5763.803357,97.13,False
Cluster 5,5282,t1_NODE_6_length_5282_cov_8172.665965,98.85,False
Cluster 5,1518,t1_NODE_157_length_1518_cov_7846.794942,94.93,False
Cluster 5,11615,t1_NODE_3_length_11615_cov_5855.340225,98.97,False
Cluster 5,11875,t1_NODE_1_length_11875_cov_44.970897,100.00,True
Cluster 5,1517,t1_NODE_5_length_1517_cov_2.834473,98.62,False
Cluster 5,1231,t1_NODE_10_length_1231_cov_5.001701,99.03,False
Cluster 5,1103,t1_NODE_15_length_1103_cov_4.120229,98.73,False
Cluster 5,1096,t1_NODE_17_length_1096_cov_5.846302,99.45,False
Cluster 5,11875,t1_NODE_2_length_11875_cov_44.417259,98.85,False
Cluster 6,11688,t1_NODE_1_length_11688_cov_451.486891,96.01,False
Cluster 6,11657,t1_NODE_1_length_11657_cov_169.798052,96.17,False
Cluster 6,11729,t1_NODE_1_length_11729_cov_483.945092,97.68,False
Cluster 6,11738,t2_NODE_1_length_11738_cov_21.549260,100.00,True
Cluster 6,3815,t2_NODE_1_length_3815_cov_4.961436,98.74,False
Cluster 6,1582,t2_NODE_2_length_1582_cov_4.610347,99.12,False
Cluster 6,1527,t2_NODE_3_length_1527_cov_5.086957,99.48,False
Cluster 6,1394,t2_NODE_4_length_1394_cov_5.944735,99.14,False
Cluster 6,1253,t2_NODE_6_length_1253_cov_4.244574,98.88,False
Cluster 6,1054,t2_NODE_7_length_1054_cov_4.799800,98.67,False
Cluster 6,2601,t2_NODE_6_length_2601_cov_2.990966,96.89,False
Cluster 6,2554,t2_NODE_7_length_2554_cov_3.319328,97.92,False
Cluster 6,1676,t2_NODE_8_length_1676_cov_2.396669,98.03,False
Cluster 6,1194,t2_NODE_21_length_1194_cov_3.172081,98.24,False
Cluster 6,1097,t2_NODE_24_length_1097_cov_2.357006,98.54,False
Cluster 7,11011,t1_NODE_2_length_11011_cov_8.205915,100.00,True
Cluster 8,10807,t1_NODE_2_length_10862_cov_192.823910,97.51,False
Cluster 8,10808,t1_NODE_1_length_10863_cov_634.231033,100.00,True
Cluster 8,10807,t1_NODE_1_length_10862_cov_269.862311,97.54,False
Cluster 8,10807,t1_NODE_2_length_10862_cov_112.083094,97.46,False
Cluster 8,4117,t1_NODE_4_length_4117_cov_10.485721,97.13,False
Cluster 8,3146,t1_NODE_9_length_3146_cov_9.540278,97.39,False
Cluster 8,1891,t1_NODE_17_length_1891_cov_7.212418,97.83,False
Cluster 8,1498,t1_NODE_39_length_1498_cov_14.934858,96.19,False
Cluster 8,1435,t1_NODE_286_length_1435_cov_1.642754,97.49,False
Cluster 8,1173,t1_NODE_572_length_1173_cov_2.606440,96.33,False
Cluster 8,1006,t1_NODE_944_length_1006_cov_3.385910,97.02,False
Cluster 8,10808,t1_NODE_1_length_10863_cov_585.627683,97.36,False
Cluster 8,10807,t1_NODE_1_length_10862_cov_1690.568058,97.54,False
Cluster 8,10807,t1_NODE_4_length_10862_cov_863.905062,97.38,False
Cluster 8,10808,t1_NODE_1_length_10863_cov_420.465211,97.95,False
Cluster 8,10807,t1_NODE_1_length_10862_cov_205.861664,95.11,False
Cluster 8,10808,t1_NODE_2_length_10863_cov_623.063842,97.36,False
Cluster 8,10807,t1_NODE_1_length_10862_cov_498.078930,97.49,False
Cluster 8,10807,t1_NODE_3_length_10862_cov_1314.274452,97.53,False
Cluster 8,10787,t1_NODE_1_length_10787_cov_67.947261,97.42,False
Cluster 8,10807,t1_NODE_1_length_10862_cov_281.607107,97.47,False
Cluster 8,10807,t1_NODE_2_length_10807_cov_65.197917,97.85,False
Cluster 8,4324,t1_NODE_2_length_4324_cov_7.190911,99.26,False
Cluster 8,2736,t1_NODE_4_length_2736_cov_6.494219,99.16,False
Cluster 8,2024,t1_NODE_8_length_2024_cov_7.172169,99.21,False
Cluster 8,1353,t1_NODE_378_length_1353_cov_1.721109,98.00,False
Cluster 8,2183,t1_NODE_1_length_2183_cov_6.182801,99.50,False
Cluster 8,1414,t1_NODE_5_length_1414_cov_3.632082,99.15,False
Cluster 8,1374,t1_NODE_7_length_1374_cov_3.361638,99.42,False
Cluster 8,1139,t1_NODE_21_length_1139_cov_3.637454,99.39,False
Cluster 8,10807,t1_NODE_1_length_10862_cov_65.313871,97.55,False
Cluster 8,2858,t1_NODE_20_length_2858_cov_4.049946,97.69,False
Cluster 8,2218,t1_NODE_42_length_2218_cov_6.886731,97.20,False
Cluster 8,1646,t1_NODE_123_length_1646_cov_3.682590,97.02,False
Cluster 8,1510,t1_NODE_158_length_1510_cov_5.096220,96.82,False
Cluster 8,1248,t1_NODE_303_length_1248_cov_3.746018,97.20,False
Cluster 8,10797,t1_NODE_2_length_10797_cov_85.133774,97.74,False
Cluster 8,4865,t1_NODE_4_length_4865_cov_76.974220,98.19,False
Cluster 8,1462,t1_NODE_157_length_1462_cov_65.689410,98.29,False
Cluster 8,1209,t1_NODE_287_length_1209_cov_83.321490,98.59,False
Cluster 8,1145,t1_NODE_345_length_1145_cov_68.360550,97.73,False
Cluster 8,10807,t1_NODE_2_length_10862_cov_354.190432,97.51,False
Cluster 8,4702,t1_NODE_4_length_4702_cov_7.125457,97.83,False
Cluster 8,3153,t1_NODE_8_length_3153_cov_6.858941,97.40,False
Cluster 8,2888,t1_NODE_13_length_2888_cov_7.126721,96.88,False
Cluster 8,3197,t1_NODE_5_length_3197_cov_4.021961,97.47,False
Cluster 8,1796,t1_NODE_39_length_1796_cov_4.677771,97.72,False
Cluster 8,1518,t1_NODE_68_length_1518_cov_4.172932,96.64,False
Cluster 8,1320,t1_NODE_106_length_1320_cov_3.807115,97.35,False
Cluster 8,10780,t1_NODE_2_length_10780_cov_26.042704,97.38,False
Cluster 8,10770,t1_NODE_2_length_10770_cov_237.567149,97.40,False
Cluster 8,5687,t1_NODE_4_length_5687_cov_6.069957,97.70,False
Cluster 8,2516,t1_NODE_38_length_2516_cov_5.499797,97.30,False
Cluster 8,2387,t1_NODE_44_length_2387_cov_4.900086,96.90,False
Cluster 8,10796,t1_NODE_1_length_10796_cov_176.527139,99.26,False
Cluster 8,1308,t2_NODE_9_length_1308_cov_2.826816,94.95,False
Cluster 8,5392,t2_NODE_1_length_5392_cov_7.312160,98.94,False
Cluster 8,1735,t2_NODE_3_length_1735_cov_6.476786,99.14,False
Cluster 8,1648,t2_NODE_4_length_1648_cov_6.931576,98.73,False
Cluster 8,1382,t2_NODE_7_length_1382_cov_6.229842,98.63,False
Cluster 9,5150,t1_NODE_1_length_5150_cov_24.844750,99.18,False
Cluster 9,4458,t1_NODE_4_length_4458_cov_14.709743,93.81,False
Cluster 9,1844,t1_NODE_23_length_1844_cov_9.288429,99.67,False
Cluster 9,1705,t1_NODE_32_length_1705_cov_7.931515,99.94,False
Cluster 9,1619,t1_NODE_40_length_1619_cov_5.283887,96.91,False
Cluster 9,4677,t1_NODE_5_length_4677_cov_26.157940,99.76,False
Cluster 9,3435,t1_NODE_11_length_3435_cov_7.506213,94.41,False
Cluster 9,2439,t1_NODE_26_length_2439_cov_9.704279,99.79,False
Cluster 9,7268,t1_NODE_3_length_7268_cov_27.855123,99.78,False
Cluster 9,3737,t1_NODE_9_length_3737_cov_12.423954,87.32,False
Cluster 9,10712,t1_NODE_1_length_10712_cov_26.798818,100.00,True
Cluster 9,5218,t1_NODE_4_length_5218_cov_12.301763,95.07,False
Cluster 9,2926,t1_NODE_16_length_2926_cov_5.430164,97.20,False
Cluster 9,1983,t1_NODE_73_length_1983_cov_2.905083,96.67,False
Cluster 9,1334,t1_NODE_238_length_1334_cov_7.182174,98.28,False
Cluster 9,1247,t1_NODE_294_length_1247_cov_8.669463,98.48,False
Cluster 9,3635,t1_NODE_9_length_3635_cov_9.150838,99.83,False
Cluster 9,2013,t1_NODE_77_length_2013_cov_4.231359,96.82,False
Cluster 9,3071,t1_NODE_37_length_3071_cov_7.547414,85.57,False
Cluster 9,2751,t1_NODE_47_length_2751_cov_8.375371,97.35,False
Cluster 9,1927,t1_NODE_181_length_1927_cov_13.200855,99.74,False
Cluster 9,1624,t1_NODE_320_length_1624_cov_20.356915,99.63,False
Cluster 9,1047,t1_NODE_1283_length_1047_cov_6.775202,99.62,False
Cluster 9,3410,t1_NODE_27_length_3410_cov_10.656930,99.15,False
Cluster 9,2773,t1_NODE_51_length_2773_cov_3.778146,97.55,False
Cluster 9,1452,t1_NODE_6_length_1452_cov_4.458125,99.66,False
Cluster 9,7675,t1_NODE_4_length_7675_cov_19.240157,98.53,False
Cluster 9,2763,t1_NODE_8_length_2763_cov_8.778804,97.21,False
Cluster 9,2585,t1_NODE_11_length_2585_cov_7.756522,99.61,False
Cluster 9,2571,t1_NODE_12_length_2571_cov_11.847774,99.34,False
Cluster 9,1679,t1_NODE_35_length_1679_cov_12.975369,99.88,False
Cluster 9,3426,t1_NODE_26_length_3426_cov_20.859686,97.40,False
Cluster 9,1033,t1_NODE_1483_length_1033_cov_18.165644,92.84,False
Cluster 9,1672,t1_NODE_6_length_1672_cov_2.591837,99.04,False
Cluster 9,1167,t1_NODE_9_length_1167_cov_8.824640,95.80,False
Cluster 9,2760,t1_NODE_2_length_2760_cov_11.203697,99.53,False
Cluster 9,1467,t1_NODE_15_length_1467_cov_23.298159,99.80,False
Cluster 9,1236,t1_NODE_25_length_1236_cov_9.303133,97.73,False
Cluster 10,10427,t1_NODE_1_length_10427_cov_139.129290,99.52,False
Cluster 10,10509,t1_NODE_1_length_10509_cov_835.164817,100.00,True
Cluster 10,10476,t1_NODE_2_length_10476_cov_151.820555,99.37,False
Cluster 10,10494,t1_NODE_2_length_10494_cov_183.390267,99.14,False
Cluster 10,10444,t1_NODE_2_length_10444_cov_185.362210,99.07,False
Cluster 10,10483,t1_NODE_3_length_10483_cov_113.490602,99.28,False
Cluster 10,10409,t1_NODE_1_length_10409_cov_31.418292,99.24,False
Cluster 10,10408,t1_NODE_2_length_10408_cov_11.450497,99.11,False
Cluster 10,7811,t1_NODE_1_length_7811_cov_5.738783,99.46,False
Cluster 10,2460,t1_NODE_10_length_2460_cov_4.864449,99.51,False
Cluster 10,10412,t1_NODE_2_length_10412_cov_16.288597,99.56,False
Cluster 10,10173,t1_NODE_1_length_10173_cov_5.875173,99.51,False
Cluster 10,5658,t1_NODE_3_length_5658_cov_8.548278,99.49,False
Cluster 10,2304,t1_NODE_30_length_2304_cov_7.365940,98.57,False
Cluster 10,1989,t1_NODE_45_length_1989_cov_6.865564,99.45,False
Cluster 10,6114,t1_NODE_1_length_6114_cov_4.245255,98.95,False
Cluster 10,1681,t1_NODE_118_length_1681_cov_4.203567,99.64,False
Cluster 10,1303,t1_NODE_258_length_1303_cov_5.479968,99.23,False
Cluster 10,8762,t1_NODE_1_length_8762_cov_5.487883,99.12,False
Cluster 10,1449,t1_NODE_163_length_1449_cov_4.812769,99.17,False
Cluster 10,10417,t1_NODE_3_length_10417_cov_18.506659,98.26,False
Cluster 10,1541,t1_NODE_91_length_1541_cov_3.796770,99.42,False
Cluster 10,1382,t1_NODE_133_length_1382_cov_2.969857,99.28,False
Cluster 10,1792,t1_NODE_41_length_1792_cov_3.800230,99.61,False
Cluster 10,1445,t1_NODE_76_length_1445_cov_3.446043,99.58,False
